p63,l0
p34,l0
p18,l0
p60,l0
p62,l0
p73,l0
p74,l1
p20,l1
p92,l1
p65,l2
p25,l2
p53,l2
p8,l2
p26,l2
p87,l2
p9,l3
p11,l3
p36,l3
p57,l3
p59,l3
p66,l3
p77,l4
p28,l4
p32,l4
p98,l5
p0,l5
p33,l6
p18,l6
p43,l6
p95,l6
p91,l6
p76,l6
p69,l6
p68,l7
p77,l8
p94,l8
p91,l8
p86,l8
p79,l9
p54,l9
p90,l10
p90,l10
p87,l10
p57,l11
p16,l11
p27,l11
p86,l11
p46,l12
p84,l12
p49,l12
p29,l12
p68,l13
p72,l13
p60,l14
p49,l14
p72,l15
p17,l15
p22,l15
p49,l15
p12,l15
p13,l15
p36,l15
p93,l16
p90,l16
p62,l16
p81,l17
p49,l17
p33,l17
p39,l17
p65,l17
p60,l17
p25,l17
p7,l18
p10,l18
p36,l19
p28,l19
p33,l19
p9,l19
p42,l19
p93,l19
p26,l20
p65,l20
p76,l20
p48,l20
p15,l20
p62,l21
p51,l21
p20,l21
p55,l21
p42,l21
p82,l21
p39,l21
p24,l21
p72,l22
p63,l22
p98,l22
p89,l23
p13,l23
p41,l23
p78,l24
p29,l25
p11,l25
p86,l25
p72,l25
p4,l25
p44,l25
p98,l25
p21,l26
p47,l26
p86,l26
p9,l26
p9,l26
p38,l26
p65,l27
p80,l27
p13,l27
p5,l28
p78,l29
p69,l29
p44,l29
p11,l29
p57,l30
p52,l30
p59,l30
p36,l30
p30,l30
p47,l31
p16,l31
p60,l31
p52,l31
p61,l31
p59,l31
p23,l31
p82,l31
p9,l32
p16,l33
p48,l33
p22,l33
p82,l33
p29,l33
p35,l33
p87,l33
p34,l33
p65,l34
p3,l34
p25,l34
p77,l34
p62,l34
p83,l34
p30,l34
p19,l35
p61,l35
p67,l36
p71,l37
p20,l37
p40,l37
p31,l37
p43,l37
p23,l37
p38,l37
p15,l38
p55,l38
p1,l38
p38,l38
p38,l38
p73,l39
p26,l39
p64,l39
p91,l40
p68,l40
p80,l40
p69,l40
p31,l40
p0,l41
p53,l41
p84,l41
p61,l41
p64,l41
p51,l41
p36,l42
p71,l42
p80,l42
p67,l42
p3,l43
p6,l43
p18,l44
p61,l44
p70,l44
p56,l44
p0,l44
p0,l44
p26,l45
p65,l45
p85,l45
p34,l46
p66,l46
p65,l47
p31,l47
p88,l47
p18,l47
p15,l47
p50,l47
p82,l47
p67,l47
p19,l48
p39,l48
p70,l48
p86,l48
p54,l48
p73,l48
p93,l48
p23,l48
p55,l49
p93,l49
p49,l49
p55,l49
p93,l49
p79,l49
p81,l49
p59,l49
